text,label
filmni maza qilib tomosha qildim,positive
bu ayniqsa yosh bolalar uchun juda foydali,positive
puliga arziydigan ilova ekan,positive
"Zo'r ekan, qoyil, rahmat",positive
Ajoyib ilova,positive
Zo'r dastur,positive
Chidasa bo'ladi,positive
Foydalanish juda oson va juda yaxshi,positive
"Zo'r, ammo 4G tez emas ekan",positive
Sog' bo'ling Kamoliddin,positive
Gap yo'q omad Kamoliddin aka faqat oldinga,positive
Assalomu alaykum aka sizdan Alloh rozi bo'lsin,positive
Kamoliddin aka juda yaxshi va tushunarli gapiradi,positive
Rahmat Kamoliddin aka,positive
Gap yo'q juda chiroyli tushuntirasiz,positive
Kamoliddin Rabbimovga katta rahmat,positive
Baraka toping Kamoliddin Alloh rozi bo'lsin,positive
Brat gap yo'q tahlillarga,positive
Tinchlik bo'lsin dunyoda,positive
Gap yo'q Kamol aka,positive
Omad,positive
To'g'ri gap bu dunyo hammadan qoladi,positive
Birlashishdan boshqa yo'l yo'qligi yanayam ravshanlashdi,positive
Rahmat tushunchalar uchun,positive
filmni katta qiziqish bilan tomosha qildim,positive
syujet juda chiroyli va ta’sirli ishlangan,positive
aktyorlar o‘z rolini mukammal ijro etgan,positive
film boshidan oxirigacha qiziqarli,positive
film juda hayajonli va ta’sirli,positive
syujet juda puxta yozilgan,positive
aktyorlik mahorati juda yuqori,positive
film tomoshabinni o‘ziga tortadi,positive
filmda chuqur ma’no bor,positive
yakuni juda chiroyli ishlangan,positive
film juda sifatli suratga olingan,positive
musiqa filmga juda mos tushgan,positive
aktyorlar hissiyotlarni a’lo darajada yetkazgan,positive
film juda ilhomlantiruvchi,positive
syujet juda o‘ziga xos,positive
filmni qayta ko‘rishga arziydi,positive
film juda professional ishlangan,positive
aktyorlar juda ishonchli o‘ynagan,positive
film tomoshabinni zeriktirmaydi,positive
film juda yaxshi taassurot qoldirdi,positive
film juda qiziqarli va mazmunli,positive
aktyorlar rolini a’lo darajada ijro etgan,positive
syujet boshidan oxirigacha tortib turadi,positive
film juda yaxshi taassurot qoldirdi,positive
aktyorlik mahorati juda yuqori,positive
filmni maroq bilan tomosha qildim,positive
syujet juda chiroyli ishlangan,positive
film hayajonli va mazmunli,positive
aktyorlar juda ishonchli o‘ynagan,positive
film professional tarzda ishlangan,positive
syujet juda puxta yozilgan,positive
film tomoshabinni o‘ziga tortadi,positive
aktyorlar hissiyotlarni juda yaxshi yetkazgan,positive
filmni yana qayta ko‘rish mumkin,positive
syujet juda ta’sirli,positive
film sifatli suratga olingan,positive
aktyorlar o‘z roliga juda mos,positive
film juda ilhomlantiruvchi,positive
syujet juda qiziqarli rivojlangan,positive
film tomoshabinni zeriktirmaydi,positive
aktyorlar professional darajada,positive
film juda yoqimli tomosha bo‘ldi,positive
syujet juda o‘ziga xos,positive
film katta hissiy ta’sir qoldirdi,positive
aktyorlik juda kuchli,positive
filmda har bir sahna o‘ylangan,positive
syujet mantiqan mukammal,positive
film tomoshabinga zavq bag‘ishlaydi,positive
aktyorlar juda puxta ishlagan,positive
film yuqori saviyada ishlangan,positive
syujet juda chiroyli ochilgan,positive
filmni tavsiya qilish mumkin,positive
aktyorlar rolni a’lo darajada bajargan,positive
film juda qiziqarli sahnalarga boy,positive
syujet chuqur ma’noga ega,positive
film ko‘ngilni ko‘taradi,positive
aktyorlar juda mahoratli,positive
film juda muvaffaqiyatli chiqqan,positive
syujet tomoshabinni o‘ylantiradi,positive
filmni katta zavq bilan ko‘rdim,positive
aktyorlar obrazni juda yaxshi ochgan,positive
film juda mazmunli ishlangan,positive
syujet juda ta’sirchan,positive
film professional jamoa tomonidan yaratilgan,positive
aktyorlik juda yuqori darajada,positive
filmda har bir detal e’tiborli,positive
syujet juda puxta rejalashtirilgan,positive
film tomoshabinni hayajonga soladi,positive
aktyorlar juda mos tushgan,positive
film juda yaxshi ishlangan,positive
syujet mukammal darajada,positive
film tomosha qilishga arziydi,positive
aktyorlar kuchli ijro ko‘rsatgan,positive
film katta taassurot qoldirdi,positive
syujet juda qiziqarli tarzda ketadi,positive
filmni qayta ko‘rish istagi paydo bo‘ladi,positive
aktyorlar juda ishonarli,positive
film yuqori bahoga loyiq,positive
syujet juda o‘ylangan,positive
film tomoshabinni jalb qiladi,positive
aktyorlik juda ta’sirli,positive
film juda yoqimli,positive
syujet mukammal ishlangan,positive
film professional darajada,positive
aktyorlar rolga juda mos,positive
film tomoshabinni ushlab turadi,positive
syujet juda kuchli,positive
film juda sifatli,positive
aktyorlar juda yaxshi ishlagan,positive
filmni ko‘rish juda maroqli,positive
syujet chuqur va mazmunli,positive
film katta qiziqish uyg‘otadi,positive
aktyorlar juda tabiiy,positive
film tomosha qilishga arziydi,positive
syujet juda chiroyli rivojlangan,positive
film juda yoqimli taassurot qoldirdi,positive
aktyorlik juda kuchli ishlangan,positive
film o‘ziga tortadi,positive
syujet juda muvaffaqiyatli,positive
film tomoshabinga zavq beradi,positive
aktyorlar juda professional,positive
filmni albatta tavsiya qilaman,positive
syujet juda ajoyib,positive
film juda yaxshi chiqdi,positive
aktyorlar obrazni mukammal ochgan,positive
film katta qoniqish berdi,positive
syujet juda ta’sirli ishlangan,positive
film tomosha qilish juda yoqimli,positive
aktyorlar juda mos tushgan,positive
film yuqori darajada ishlangan,positive
syujet juda puxta,positive
film tomoshabinni hayratda qoldiradi,positive
aktyorlar juda kuchli ijro etgan,positive
film katta bahoga loyiq,positive
bugun juda yaxshi kayfiyatdaman,positive
ilova juda qulay va tez ishlaydi,positive
xizmat sifati menga juda yoqdi,positive
bu joy juda chiroyli va ozoda,positive
ustoz juda tushunarli qilib tushuntirdi,positive
telefonimdan juda mamnunman,positive
dastur oson va foydali ekan,positive
ovqat juda mazali tayyorlangan,positive
bugungi kun juda samarali o'tdi,positive
yangilanishdan keyin ilova yaxshilandi,positive
jamoa juda ahil va samimiy,positive
bu imkoniyat menga juda foyda berdi,positive
ishimni tez va oson bajarib oldim,positive
dizayn juda chiroyli ishlangan,positive
natijalar kutilganidan ham yaxshi,positive
hammasi reja bo‘yicha ketdi,positive
men bu tanlovdan mamnunman,positive
film juda zerikarli va syujeti sust,negative
aktyorlar o‘z rolini yomon ijro etgan,negative
film davomida hech qanday qiziq joy bo‘lmadi,negative
syujet mantiqsiz va tushunarsiz,negative
film juda cho‘zib yuborilgan,negative
aktyorlik mahorati juda past,negative
film vaqtni behuda sarflashga arzimaydi,negative
voqealar juda sekin rivojlanadi,negative
filmda mantiqiy xatolar juda ko‘p,negative
yakuni umuman yoqmadi,negative
syujet juda zaif ishlangan,negative
dialoglar sun’iy va zerikarli,negative
aktyorlar hissiyotni bera olmagan,negative
film boshidan oxirigacha qiziqarsiz,negative
kutilgan darajada chiqmagan,negative
syujet nusxa va zerikarli,negative
rejissyor ishi juda sust,negative
filmda chuqur ma’no yo‘q,negative
ovoz va tasvir sifati yomon,negative
film umuman taassurot qoldirmadi,negative
aktyorlar noto‘g‘ri tanlangan,negative
film juda sust boshlangan,negative
syujetda mantiq yetishmaydi,negative
film haddan tashqari zerikarli,negative
filmni oxirigacha ko‘rishga sabrim yetmadi,negative
aktyorlar juda sun’iy o‘ynagan,negative
film syujeti juda oddiy,negative
hech qanday yangilik yo‘q,negative
film kutilganidek bo‘lmadi,negative
voqealar bir xil takrorlanadi,negative
film juda sust rivojlangan,negative
film umuman esda qolmaydi,negative
aktyorlar o‘z roliga mos emas,negative
filmning tempi juda sekin,negative
syujet juda zaif,negative
filmda hayajon yetishmaydi,negative
filmni ko‘rish zerikarli,negative
dialoglar juda sayoz,negative
aktyorlar ishonchsiz o‘ynagan,negative
film juda sifatsiz ishlangan,negative
filmda mantiqsiz sahnalar ko‘p,negative
syujet juda chalkash,negative
filmda keskinlik yo‘q,negative
aktyorlik juda sust,negative
film tomoshabinni ushlab tura olmaydi,negative
film juda oddiy va zerikarli,negative
filmning oxiri juda yomon,negative
syujet juda sust rivojlangan,negative
filmda dramatik holatlar yo‘q,negative
aktyorlar hissiyotlarni bera olmagan,negative
filmda mantiqiy bog‘lanish yo‘q,negative
film umuman yoqmadi,negative
film zerikarli sahnalarga to‘la,negative
syujet juda kuchsiz,negative
film kutilgan darajada emas,negative
aktyorlar juda sust o‘ynagan,negative
film juda cho‘zilgan,negative
film tomoshabinni zeriktiradi,negative
filmda hech qanday hayajon yo‘q,negative
syujet juda oddiy va zerikarli,negative
filmni qayta ko‘rishga arzimaydi,negative
film sifatsiz ishlangan,negative
aktyorlik mahorati past,negative
film umuman tavsiya etilmaydi,negative
kop virus yuklab oladi apparat qotib ishlaydi,negative
salbiy tasir korsatadigan reklamalar juda kop,negative
reklamalar juda yomon va zarar keltiradi,negative
ilovani yuklab olish juda kop vaqt oladi,negative
bu ilova puliga arzimaydi,negative
ilovani ishlatish vaqtni behuda sarflaydi,negative
video qongiroq paytida ilova qotib qoladi,negative
grafik malumotlar juda kam,negative
ilova zamon talablariga mos emas,negative
ilovani kochirib olish qiyin,negative
obuna bolish jarayoni murakkab,negative
kerakli malumotni topish qiyin,negative
ilovaning hajmi juda katta va xotirani toldiradi,negative
ilovani ornata olmadim,negative
ilova juda zerikarli,negative
ilova sifatsiz va yomon ishlaydi,negative
ilovada reklamalar haddan tashqari kop,negative
ilovani ishlatish juda qiyin va tushunarsiz,negative
ilovaning dizayni yaxshi emas,negative
ilovaning litsenziyasi juda qisqa,negative
ilovadagi shrift juda kichik,negative
ranglar bir biriga mos kelmaydi,negative
ilova offline rejimda ishlamaydi,negative
ilova juda sekin ishlaydi,negative
ilova buyruqlarni togri bajarmaydi,negative
ilovada kerakli funksiyalar yoq,negative
ilova tez tez qotib qoladi,negative
ilovaning xavfsizlik darajasi past,negative
yangiliklar oz vaqtida kelmaydi,negative
ilova batareyani juda tez tugatadi,negative
internet bilan ishlashda muammolar bor,negative
ilovadagi malumotlar eski,negative
ranglar kozga yoqimsiz,negative
ilova foydasiz,negative
ilova ishonchsiz ishlaydi,negative
ilovadan foydalanish qiyinchilik tugdiradi,negative
ilovaning tezligi juda past,negative
ilova murakkab tuzilgan,negative
ilovaga kirish qiyin,negative
ilova doimiy ishlamaydi,negative
ilovaning yozuvlari juda mayda,negative
ilovadan chiqishda muammolar bor,negative
ilova qiziqarsiz,negative
ilova eskicha korinadi,negative
ilova boshqa qurilmalarda ishlamaydi,negative
ilova didsiz yaratilgan,negative
ilova juda sekin va qotib ishlaydi,negative
"Bu dastur ishlamayapti, server doimo uzilib qoladi",negative
"Juda ko'p xatolar bor, foydalanish qiyin",negative
Filtr umuman ishlamaydi,negative
"Valyutani aylantirib bo'lmaydi, to'lov muammoli",negative
Tilni tanlash imkoniyati yo'q,negative
Ilova juda sekin ishlaydi,negative
Juda ko'p reklama va asabga tegadi,negative
"Soxta dastur, pul topish uchun qilingan",negative
Yangilanishdan keyin ilova buzildi,negative
Video va audio bir-biriga mos kelmaydi,negative
Kanallarning aksariyati bepul emas,negative
"Rasvo, yuklab bo'lmayapti",negative
"Essiz vaqtim, ilova qotib qoladi",negative
Internet bo'lmasa umuman ishlamaydi,negative
Ilova foydasiz va yomon tuzilgan,negative
"Ilova boshni og'ritadi, ranglari yoqimsiz",negative
Ba'zi xatolar juda ko'p uchraydi,negative
Tez-tez qotib qoladi va uziladi,negative
"Yangilash juda ko'p, foydasi yo'q",negative
Registratsiya juda qiyin,negative
Bizni hokimlarni va prokurorlarni ham o'g'irlab ketishsa yaxshi bo'lardi,negative
BMT bir tiyinga qimmat tashkilot,negative
Saylovlarni soxtalashtirish hamma joyda bor,negative
Bu demokratiyaning qulashi va odamlar ishonchi yo'qolishi,negative
AQSh dunyoni mensimay qo'ydi,negative
Xalqaro qonun yo'qoldi bu degani jungli qonuni boshlandi,negative
Saylovni soxtalashtirgan har bir hokimiyat shunga loyiq,negative
Isroil va AQSh dunyo qonunlariga tupuryapti,negative
Amerika boshqa davlatlar suverenitetini buzgan,negative
Ma'lumotlar noto'g'ri,negative
Dunyoda to'g'rilik tarozisi sindi,negative
AQSh kuchsiz davlatlarga osiladi,negative
Bu tashkilot dunyoga foydasiz,negative
Amerika ham demokratiyani yo'q qildi,negative
BMT faqat majlisbozlikdan boshqa narsaga yaramaydi,negative
AQSh sanksiyalar bilan xalqni qiynayapti,negative
Xalqaro huquq foydasiz bo'lib qoldi,negative
Amerika Isroil bilan bir xil siyosat yuritmoqda,negative
Yolg'on ma'lumotlar aytilmoqda,negative
Amerikaning siyosati tajovuzkor,negative
Bu dunyoda adolat qolmadi,negative
Yolg'on demokratiya,negative
Amerika o'z manfaatidan boshqasini o'ylamaydi,negative
Xalqaro tashkilotlar kuchsiz,negative
dasturni yangilash lozim,neutral
narxlari qimmat emasdek tuyuldi,neutral
metrodan foydalanishda koplab odamlar bor,neutral
Ushbu ilovada ba'zi muammolar mavjud,neutral
Ba'zi xatolar bor,neutral
Yomon emas,neutral
Men juda yaxshi emas deb o'ylayman,neutral
SMS yuborish funksiyasini qo'shish kerak,neutral
Internetni tezlashtirish kerak,neutral
Ma'lumotlar har doim vaqtida yangilanmaydi,neutral
Kamchiliklar bor,neutral
Sal tezroq ishlaydigan qilish kerak,neutral
Yangi versiya balki yaxshiroqdir,neutral
Venesueladagi neft zahirasi 300 milliard barrel atrofida,neutral
Mening shaxsiy fikrim shu,neutral
Suverenitetni kafolati yadro quroli bo'lib qoldi,neutral
Saylovlar haqida gap ketmoqda,neutral
Rossiya Ukraina masalasida rejalar qilgan,neutral
AQShning dunyo bo'ylab bazalari bor,neutral
Maduroning sudi xalqaro darajada bo'lishi mumkin,neutral
AQSh sportchilariga sanksiya masalasi,neutral
Venesuela nefti haqida ma'lumot berildi,neutral
Geosiyosiy vaziyat murakkab,neutral
Bu tarixiy jarayon,neutral
Xalqaro munosabatlar keskinlashmoqda,neutral
Sanksiyalar iqtisodiyotga ta'sir qiladi,neutral
Davlatlar o'rtasida manfaatlar to'qnashuvi bor,neutral
Bu masala bo'yicha turli fikrlar mavjud,neutral
"film oddiy, lekin tomosha qilish mumkin",neutral
"aktyorlar yomon emas, o‘rtacha darajada",neutral
"syujet tushunarli, lekin yangilik yo‘q",neutral
filmni bir marta ko‘rsa bo‘ladi,neutral
"film yaxshi ham emas, yomon ham emas",neutral
aktyorlik o‘rtacha darajada,neutral
syujet oddiy tarzda rivojlangan,neutral
film katta taassurot qoldirmadi,neutral
film sokin uslubda suratga olingan,neutral
filmni bemalol ko‘rish mumkin,neutral
film sokin tarzda suratga olingan,neutral
syujet oddiy va tushunarli,neutral
aktyorlar o‘rtacha darajada o‘ynagan,neutral
filmni bir marta ko‘rsa bo‘ladi,neutral
film katta hayajon bermadi,neutral
bugun ob havo odatdagidek,neutral
dastur yangilandi,neutral
bu mahsulot bozorda bor,neutral
uchrashuv ertaga bo‘ladi,neutral
narxlar o‘rtacha darajada,neutral
xizmat mavjud lekin majburiy emas,neutral
ilova ishlayapti,neutral
ma'lumotlar keyinroq qo‘shiladi,neutral
syujet sekin rivojlanadi,neutral
film oddiy tomoshabinlar uchun,neutral
aktyorlar rolini yomon ijro etmagan,neutral
film o‘rtacha darajada ishlangan,neutral
syujet murakkab emas,neutral
film ko‘rishga yomon emas,neutral
aktyorlik darajasi o‘rtacha,neutral
filmni oilaviy ko‘rish mumkin,neutral
syujetda keskin burilishlar yo‘q,neutral
film sokin muhitda o‘tadi,neutral
aktyorlar o‘z rolini bajargan,neutral
filmda ortiqcha sahnalar yo‘q,neutral
film o‘rtacha taassurot qoldirdi,neutral
syujet aniq va ravon,neutral
film professional ishlangan,neutral
aktyorlar tabiiy o‘ynagan,neutral
filmni tushunish oson,neutral
syujet odatiy,neutral
film katta yangilik olib kelmaydi,neutral
aktyorlikda kamchiliklar bor,neutral
film tomoshabinni charchatmaydi,neutral
syujet soddaroq,neutral
film sekin tempda ketadi,neutral
aktyorlar yomon emas,neutral
film oddiy janrda ishlangan,neutral
filmda keskin sahnalar kam,neutral
syujetda chuqur ma’no yo‘q,neutral
filmni bemalol ko‘rish mumkin,neutral
aktyorlar tajribali ko‘rinadi,neutral
film o‘rtacha bahoga loyiq,neutral
syujet ancha oddiy,neutral
filmni fon sifatida ko‘rish mumkin,neutral
aktyorlar roli mos tushgan,neutral
film jiddiy emas,neutral
syujet muammosiz rivojlanadi,neutral
film tomosha qilish uchun mos,neutral
aktyorlar rolni yetkazgan,neutral
film katta taassurot bermaydi,neutral
syujetda yangilik kam,neutral
film odatiy uslubda,neutral
aktyorlik o‘rtacha darajada qolgan,neutral
filmni tushunish qiyin emas,neutral
syujetda chalkashlik yo‘q,neutral
film sokin tomoshaga mos,neutral
aktyorlar sun’iy emas,neutral
film standart darajada,neutral
syujet qiziqarli ham emas,neutral
film vaqtni o‘tkazish uchun,neutral
aktyorlar rolga mos,neutral
film oddiy hikoyaga ega,neutral
syujet jiddiy emas,neutral
"film sekin, lekin tushunarli",neutral
aktyorlik normal darajada,neutral
filmni baholash qiyin,neutral
syujet muammosiz,neutral
film o‘rtacha ko‘rinadi,neutral
aktyorlar o‘z ishini qilgan,neutral
film jiddiylikni talab qilmaydi,neutral
syujet ko‘pchilikka tanish,neutral
film sodda tarzda ishlangan,neutral
aktyorlar ishonchli,neutral
film muvozanatli ishlangan,neutral
syujet odatiy rivojlanadi,neutral
filmni ko‘rish qiyin emas,neutral
aktyorlar yetarli darajada,neutral
filmda keskinlik kam,neutral
syujet soddaligi bilan ajraladi,neutral
film o‘rtacha tomoshaga mos,neutral
aktyorlar rolni bajargan,neutral
film ortiqcha dramatik emas,neutral
syujet soddaroq ishlangan,neutral
film barqaror tempda,neutral
aktyorlar mos tanlangan,neutral
film tomoshabin uchun qulay,neutral
syujet izchil,neutral
film katta bahsli emas,neutral
aktyorlar me’yorida,neutral
film oddiy syujetga ega,neutral
syujet mantiqan tushunarli,neutral
film umumiy darajada yaxshi,neutral
aktyorlik jiddiy emas,neutral
film sokin kechadi,neutral
syujetda keskin burilish yo‘q,neutral
film an’anaviy ishlangan,neutral
aktyorlar o‘rtacha rol ijro etgan,neutral
film oddiy hikoya asosida,neutral
syujet muvozanatli,neutral
filmni baholash o‘rtacha,neutral
aktyorlar yetarli,neutral
film katta hissiyot bermaydi,neutral
syujet sodda,neutral
filmni ko‘rsa bo‘ladi,neutral
aktyorlik yetarli darajada,neutral
film odatiy tomoshaga mos,neutral
syujet muammosiz kechadi,neutral
film oddiy va sokin,neutral
aktyorlar tajribali,neutral
film barqaror ishlangan,neutral
syujet klassik,neutral
filmda keskin sahnalar yo‘q,neutral
aktyorlar tabiiy,neutral
filmni tushunish oson,neutral
syujet oddiy rivojlanadi,neutral
film umumiy o‘rtacha darajada,neutral
